DateTime;Generation
01Jan2019 0:00:00;0,0000000
01Jan2019 1:00:00;0,0000000
01Jan2019 2:00:00;0,0000080
01Jan2019 3:00:00;0,0000000
01Jan2019 4:00:00;0,0000080
01Jan2019 5:00:00;0,0000000
01Jan2019 6:00:00;0,0000000
01Jan2019 7:00:00;1,0723045
01Jan2019 8:00:00;12,8844613
01Jan2019 9:00:00;48,9241281
01Jan2019 10:00:00;96,1659070
01Jan2019 11:00:00;129,2822841
01Jan2019 12:00:00;147,5627811
01Jan2019 13:00:00;140,8302499
01Jan2019 14:00:00;111,3980182
01Jan2019 15:00:00;56,6164167
01Jan2019 16:00:00;17,4337930
01Jan2019 17:00:00;0,7319721
01Jan2019 18:00:00;0,0000080
01Jan2019 19:00:00;0,0000000
01Jan2019 20:00:00;0,0000000
01Jan2019 21:00:00;0,0000000
01Jan2019 22:00:00;0,0000000
01Jan2019 23:00:00;0,0000000
02Jan2019 0:00:00;0,0000080
02Jan2019 1:00:00;0,0000000
02Jan2019 2:00:00;0,0000000
02Jan2019 3:00:00;0,0000080
02Jan2019 4:00:00;0,0000000
02Jan2019 5:00:00;0,0000080
02Jan2019 6:00:00;0,0000000
02Jan2019 7:00:00;0,7538983
02Jan2019 8:00:00;8,4170835
02Jan2019 9:00:00;23,2086915
02Jan2019 10:00:00;41,6209851
02Jan2019 11:00:00;59,1462041
02Jan2019 12:00:00;75,5166575
02Jan2019 13:00:00;65,5428395
02Jan2019 14:00:00;43,3652356
02Jan2019 15:00:00;21,0284869
02Jan2019 16:00:00;7,1091721
02Jan2019 17:00:00;0,1902966
02Jan2019 18:00:00;0,0000000
02Jan2019 19:00:00;0,0000080
02Jan2019 20:00:00;0,0101320
02Jan2019 21:00:00;0,0000000
02Jan2019 22:00:00;0,0000080
02Jan2019 23:00:00;0,0000000
03Jan2019 0:00:00;0,0000000
03Jan2019 1:00:00;0,0000080
03Jan2019 2:00:00;0,0000000
03Jan2019 3:00:00;0,0000080
03Jan2019 4:00:00;0,0000000
03Jan2019 5:00:00;0,0000000
03Jan2019 6:00:00;0,0207080
03Jan2019 7:00:00;1,0189079
03Jan2019 8:00:00;8,5622659
03Jan2019 9:00:00;27,5284847
03Jan2019 10:00:00;55,8210335
03Jan2019 11:00:00;89,3457339
03Jan2019 12:00:00;120,1442999
03Jan2019 13:00:00;118,2943860
03Jan2019 14:00:00;82,7346192
03Jan2019 15:00:00;37,1495080
03Jan2019 16:00:00;11,6274903
03Jan2019 17:00:00;0,2537131
03Jan2019 18:00:00;0,0000080
